Dates,Type,Price,Size
10:31:04,BID,5582,1
10:31:04,BID,5579,5
10:31:04,ASK,5584,2
10:31:04,BID,5579,6
10:31:05,ASK,5584,1
10:31:06,BID,5582,1
10:31:06,BID,5579,6
10:31:06,ASK,5584,2
10:31:06,ASK,5584,1
10:31:07,TRADE,5584,1
10:31:07,BID,5585,1
10:31:07,ASK,5586,2
10:31:07,BID,5579,5
10:31:07,ASK,5585,1
10:31:07,ASK,5586,2
10:31:07,BID,5581,1
10:31:07,BID,5579,5
10:31:08,BID,5585,1
10:31:08,BID,5579,5
10:31:08,ASK,5585,1
10:31:08,ASK,5586,2
10:31:09,BID,5579,4
10:31:09,BID,5580,2
10:31:09,BID,5581,1
10:31:09,ASK,5586,3
10:31:09,BID,5580,2
10:31:10,BID,5580,1
10:31:10,BID,5579,5
10:31:11,ASK,5583,1
10:31:11,ASK,5583,2
10:31:15,BID,5550,2
10:31:15,ASK,5583,1
10:31:15,BID,5583,8
10:31:15,ASK,5584,1
10:31:15,ASK,5585,1
10:31:15,ASK,5585,2
10:31:15,ASK,5585,1
10:31:15,ASK,5585,2
10:31:15,ASK,5585,3
10:31:15,ASK,5584,1
10:31:15,ASK,5584,2
10:31:15,BID,5583,7
10:31:15,ASK,5584,1
10:31:15,ASK,5585,3
10:31:15,ASK,5585,2
10:31:23,ASK,5585,1
10:31:23,BID,5583,6
10:31:24,BID,5583,7
10:31:26,ASK,5584,1
10:31:28,BID,5583,5
10:31:28,BID,5583,3
10:31:28,BID,5582,4
10:31:28,ASK,5583,1
10:31:28,BID,5583,3
10:31:28,ASK,5584,1
10:31:29,BID,5583,2
10:31:29,BID,5583,1
10:31:30,BID,5582,1
10:31:30,BID,5582,2
10:31:31,BID,5582,1
10:31:31,BID,5582,2
10:31:32,BID,5582,3
10:31:35,ASK,5584,2
10:31:36,ASK,5584,1
10:31:36,ASK,5585,1
10:31:36,ASK,5584,1
10:31:38,BID,5581,11
10:31:38,BID,5581,3
10:31:39,ASK,5582,1
10:31:39,BID,5579,2
10:31:39,TRADE,5582,1
10:31:39,ASK,5585,7
10:31:39,ASK,5584,1
10:31:39,ASK,5584,2
10:31:40,ASK,5584,3
10:31:40,ASK,5583,1
10:31:40,ASK,5583,3
10:31:40,ASK,5583,4
10:31:42,ASK,5583,6
10:31:42,BID,5579,1
10:31:42,BID,5583,2
10:31:42,ASK,5584,1
10:31:50,TRADE,5583,2
10:31:50,BID,5582,6
10:31:50,BID,5578,1
10:31:50,BID,5580,1
10:31:51,BID,5578,1
10:31:51,BID,5579,1
10:31:51,BID,5578,1
10:31:52,BID,5577,2
10:31:52,BID,5582,5
10:31:52,BID,5582,4
10:31:52,BID,5582,2
10:31:52,BID,5580,3
10:31:52,BID,5580,1
10:31:52,BID,5577,2
10:31:52,BID,5578,2
10:31:54,BID,5578,3
10:31:56,BID,5578,2
10:31:56,BID,5582,1
10:31:56,ASK,5584,2
10:31:56,BID,5580,1
10:31:56,ASK,5584,1
10:31:56,ASK,5583,1
10:31:56,BID,5580,2
10:31:56,ASK,5583,2
10:31:58,ASK,5583,4
10:31:58,BID,5580,1
10:31:58,BID,5578,2
10:31:59,BID,5578,3
10:32:00,BID,5578,2
10:32:01,ASK,5581,1
10:32:01,ASK,5581,2
10:32:01,ASK,5581,3
10:32:02,ASK,5581,5
10:32:02,ASK,5581,4
10:32:02,ASK,5581,3
10:32:02,BID,5578,3
10:32:03,ASK,5583,1
10:32:03,BID,5578,2
10:32:03,ASK,5583,2
10:32:03,ASK,5583,1
10:32:03,BID,5578,3
10:32:04,ASK,5583,3
10:32:05,BID,5578,2
10:32:05,ASK,5584,1
10:32:05,BID,5579,1
10:32:05,BID,5578,2
10:32:08,BID,5578,1
10:32:08,ASK,5581,3
10:32:08,ASK,5584,1
10:32:08,ASK,5581,1
10:32:08,BID,5576,2
10:32:09,ASK,5581,2
10:32:09,ASK,5581,3
10:32:10,ASK,5581,5
10:32:10,ASK,5581,6
10:32:10,BID,5578,1
10:32:11,BID,5576,2
10:32:11,ASK,5581,11
10:32:12,ASK,5581,12
10:32:12,ASK,5581,13
10:32:13,BID,5574,2
10:32:14,ASK,5581,12
10:32:14,ASK,5580,1
10:32:16,ASK,5580,3
10:32:17,ASK,5581,2
10:32:17,ASK,5581,3
10:32:17,BID,5575,1
10:32:18,ASK,5581,5
10:32:18,BID,5574,2
10:32:18,ASK,5580,1
10:32:19,TRADE,5574,1
10:32:19,BID,5574,1
10:32:20,ASK,5580,2
10:32:20,BID,5579,1
10:32:20,ASK,5581,1
10:32:20,BID,5574,1
10:32:20,ASK,5580,5
10:32:20,BID,5576,1
10:32:21,ASK,5580,6
10:32:21,BID,5574,1
10:32:22,BID,5575,1
10:32:23,BID,5574,1
10:32:23,ASK,5577,1
10:32:23,ASK,5580,5
10:32:23,BID,5575,1
10:32:23,BID,5574,1
10:32:23,ASK,5578,1
10:32:24,BID,5578,1
10:32:24,ASK,5581,6
10:32:24,ASK,5581,7
10:32:24,BID,5574,1
10:32:25,BID,5575,1
10:32:25,ASK,5581,10
10:32:25,BID,5574,1
10:32:26,BID,5575,1
10:32:26,ASK,5581,11
10:32:26,BID,5574,1
10:32:26,ASK,5580,1
10:32:28,BID,5573,1
10:32:28,ASK,5580,2
10:32:28,ASK,5580,3
10:32:28,BID,5575,1
10:32:30,BID,5574,1
10:32:30,ASK,5580,2
10:32:32,ASK,5580,3
10:32:32,ASK,5580,4
10:32:33,ASK,5579,1
10:32:33,ASK,5579,2
10:32:33,BID,5575,1
10:32:36,ASK,5578,1
10:32:36,ASK,5578,2
10:32:39,BID,5576,1
10:32:39,ASK,5579,1
10:32:39,ASK,5579,2
10:32:40,BID,5574,1
10:32:40,BID,5576,1
10:32:41,ASK,5579,1
10:32:46,ASK,5579,2
10:32:47,ASK,5579,1
10:32:47,ASK,5580,5
10:32:47,BID,5577,1
10:32:47,BID,5576,1
10:32:47,BID,5577,1
10:32:48,ASK,5580,6
10:32:49,ASK,5580,5
10:32:50,ASK,5580,4
10:32:50,ASK,5581,7
10:32:51,ASK,5581,6
10:32:51,ASK,5581,5
10:32:52,BID,5577,2
10:32:52,ASK,5581,4
10:32:52,BID,5577,3
10:32:55,BID,5578,1
10:32:56,BID,5578,2
10:32:57,BID,5579,3
10:32:57,ASK,5582,2
10:33:00,BID,5580,3
10:33:00,ASK,5583,7
10:33:00,ASK,5583,1
10:33:01,BID,5580,1
10:33:01,ASK,5583,2
10:33:01,ASK,5583,3
10:33:03,ASK,5583,2
10:33:03,BID,5580,2
10:33:03,ASK,5583,1
10:33:03,BID,5580,1
10:33:05,BID,5581,1
10:33:06,BID,5582,4
10:33:06,BID,5582,3
10:33:07,BID,5581,1
10:33:08,ASK,5584,1
10:33:08,ASK,5583,1
10:33:15,BID,5582,1
10:33:18,BID,5581,2
10:33:19,BID,5580,4
10:33:19,BID,5581,1
10:33:19,BID,5580,4
10:33:19,BID,5581,1
10:33:19,BID,5582,1
10:33:22,BID,5581,1
10:33:22,BID,5580,3
10:33:22,ASK,5581,2
10:33:23,TRADE,5586,1
10:33:23,TRADE,5587,1
10:33:23,TRADE,5588,1
10:33:23,ASK,5586,1
10:33:23,ASK,5587,1
10:33:23,BID,5583,1
10:33:23,BID,5572,2
10:33:23,BID,5582,1
10:33:23,BID,5586,2
10:33:23,BID,5586,4
10:33:23,BID,5586,3
10:33:23,BID,5586,1
10:33:23,ASK,5588,1
10:33:23,BID,5586,4
10:33:23,BID,5586,2
10:33:23,BID,5586,1
10:33:23,BID,5586,3
10:33:23,BID,5586,2
10:33:23,BID,5586,4
10:33:23,BID,5586,2
10:33:23,BID,5586,1
10:33:23,BID,5586,4
10:33:23,BID,5582,2
10:33:23,BID,5579,3
10:33:23,ASK,5584,1
10:33:23,ASK,5583,1
10:33:23,ASK,5582,2
10:33:23,ASK,5583,1
10:33:23,BID,5583,1
10:33:23,ASK,5586,4
10:33:23,BID,5579,3
10:33:23,ASK,5583,1
10:33:23,BID,5582,1
10:33:23,BID,5579,3
10:33:23,BID,5582,1
10:33:23,BID,5579,3
10:33:23,BID,5582,1
10:33:23,BID,5579,3
10:33:23,BID,5582,1
10:33:23,BID,5583,1
10:33:23,ASK,5586,3
10:33:23,ASK,5586,1
10:33:23,TRADE,5586,1
10:33:23,ASK,5588,4
10:33:23,BID,5583,2
10:33:23,BID,5582,1
10:33:23,ASK,5583,1
10:33:23,TRADE,5583,1
10:33:23,BID,5583,2
10:33:23,ASK,5588,4
10:33:23,ASK,5584,2
10:33:23,ASK,5584,1
10:33:23,ASK,5585,1
10:33:23,ASK,5588,4
10:33:23,ASK,5585,2
10:33:24,ASK,5585,1
10:33:24,BID,5584,2
10:33:25,BID,5584,3
10:33:27,BID,5584,2
10:33:27,ASK,5588,1
10:33:27,BID,5584,1
10:33:27,BID,5583,2
10:33:27,BID,5583,1
10:33:27,ASK,5585,1
10:33:27,ASK,5588,1
10:33:27,ASK,5585,2
10:33:28,ASK,5585,1
10:33:28,BID,5583,2
10:33:28,ASK,5588,1
10:33:28,BID,5583,1
10:33:28,ASK,5585,2
10:33:28,BID,5583,2
10:33:28,BID,5583,1
10:33:28,BID,5583,2
10:33:28,BID,5583,3
10:33:28,ASK,5588,1
10:33:28,BID,5583,2
10:33:28,ASK,5585,1
10:33:30,BID,5583,1
10:33:30,ASK,5588,1
10:33:30,ASK,5585,2
10:33:31,BID,5584,5
10:33:31,ASK,5588,1
10:33:31,BID,5584,4
10:33:31,ASK,5585,2
10:33:31,ASK,5588,1
10:33:31,ASK,5585,1
10:33:32,BID,5584,3
10:33:32,BID,5584,2
10:33:32,BID,5583,3
10:33:32,BID,5583,4
10:33:32,BID,5585,1
10:33:32,ASK,5588,1
10:33:32,BID,5583,2
10:33:32,ASK,5585,1
10:33:32,BID,5583,1
10:33:33,BID,5583,2
10:33:34,BID,5586,2
10:33:34,ASK,5588,2
10:33:34,ASK,5588,1
10:33:34,ASK,5589,4
10:33:34,ASK,5589,5
10:33:35,ASK,5589,3
10:33:35,BID,5583,2
10:33:35,ASK,5586,2
10:33:36,ASK,5586,1
10:33:36,BID,5583,3
10:33:38,ASK,5589,3
10:33:38,ASK,5588,2
10:33:39,BID,5584,1
10:33:40,BID,5586,1
10:33:40,BID,5584,1
10:33:40,BID,5586,1
10:33:40,BID,5584,1
10:33:40,ASK,5587,1
10:33:41,BID,5583,3
10:33:42,ASK,5587,2
10:33:42,ASK,5587,3
10:33:45,BID,5584,1
10:33:45,ASK,5587,2
10:33:48,ASK,5586,1
10:33:50,ASK,5586,2
10:33:51,BID,5584,2
10:33:51,BID,5584,1
10:33:51,ASK,5586,1
10:33:51,ASK,5585,1
10:33:51,ASK,5586,1
10:33:52,ASK,5586,2
10:33:52,ASK,5585,1
10:33:52,BID,5589,1
10:33:52,ASK,5590,1
10:33:52,BID,5589,2
10:33:52,BID,5589,1
10:33:52,BID,5589,2
10:33:52,BID,5589,1
10:33:52,ASK,5590,3
10:34:00,BID,5589,15
10:34:00,ASK,5590,2
10:34:00,ASK,5590,1
10:34:00,BID,5589,14
10:34:00,ASK,5590,3
10:34:00,BID,5589,13
10:34:00,BID,5589,12
